,0
0,1.90311598777771
1,1.9053605794906616
2,1.9068434238433838
3,1.904919147491455
4,1.8984508514404297
5,1.8906408548355103
6,1.8858485221862793
7,1.889007329940796
8,1.7969777584075928
9,1.9057505130767822
10,1.9027175903320312
11,1.8700529336929321
12,1.8842211961746216
13,1.896625280380249
14,1.8616104125976562
15,1.871873140335083
16,1.8786441087722778
17,1.8797777891159058
18,1.801110029220581
19,1.754237174987793
20,1.9098916053771973
21,1.890204668045044
22,1.8244585990905762
23,1.8610389232635498
24,1.7265387773513794
25,1.7793432474136353
26,1.8525909185409546
27,1.8354761600494385
28,1.8926715850830078
29,1.8232929706573486
30,1.8319675922393799
31,1.7977354526519775
32,1.842566967010498
33,1.9038779735565186
34,1.8333361148834229
35,1.773928165435791
36,1.7029563188552856
37,1.8430569171905518
38,1.7765562534332275
39,1.8572977781295776
40,1.843225359916687
41,1.7201341390609741
42,1.8089854717254639
43,1.810038685798645
44,1.7975951433181763
45,1.8397525548934937
46,1.8499267101287842
47,1.9046690464019775
48,1.8857003450393677
49,1.7149754762649536
50,1.867695689201355
51,1.8630541563034058
52,1.8848235607147217
53,1.8179519176483154
54,1.8066160678863525
55,1.805216908454895
56,1.6904644966125488
57,1.767987608909607
58,1.903990626335144
59,1.7052099704742432
60,1.9037352800369263
61,1.907401204109192
62,1.7824451923370361
63,1.7573988437652588
64,1.6206307411193848
65,1.8776350021362305
66,1.651045799255371
67,1.9092103242874146
68,1.8169324398040771
69,1.7466492652893066
70,1.7781509160995483
71,1.8651162385940552
72,1.5475361347198486
73,1.904820203781128
74,1.7417802810668945
75,1.79075026512146
76,1.767237663269043
77,1.8859705924987793
78,1.7801488637924194
79,1.8767693042755127
80,1.6863720417022705
81,1.7223228216171265
82,1.9268157482147217
83,1.9220802783966064
84,1.8941036462783813
85,1.7687616348266602
86,1.8950443267822266
87,1.7831754684448242
88,1.6449023485183716
89,1.8448474407196045
90,1.558065414428711
91,1.622981071472168
92,1.8398663997650146
93,1.9369813203811646
94,1.8954668045043945
95,1.707136631011963
96,1.7233275175094604
97,1.6077972650527954
98,1.8341504335403442
99,1.9122493267059326
100,1.5996732711791992
